Nr;ID;Name;Age;Nationality;Club;Club Logo;Value;Wage;Preferred Foot;Position;Height;Weight
13;168542;David Silva;32;Spain;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;€60M;€285K;Left;LCM;5'8;148lbs
14;215914;N. Kanté;27;France;Chelsea;https://cdn.sofifa.org/teams/2/light/5.png;€63M;€225K;Right;LDM;5'6;159lbs
15;211110;P. Dybala;24;Argentina;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;€89M;€205K;Left;LF;5'10;165lbs
16;202126;H. Kane;24;England;Tottenham Hotspur;https://cdn.sofifa.org/teams/2/light/18.png;€83.5M;€205K;Right;ST;6'2;196lbs
17;194765;A. Griezmann;27;France;Atlético Madrid;https://cdn.sofifa.org/teams/2/light/240.png;€78M;€145K;Left;CAM;5'9;161lbs
18;192448;M. ter Stegen;26;Germany;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;€58M;€240K;Right;GK;6'2;187lbs
19;192119;T. Courtois;26;Belgium;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;€53.5M;€240K;Left;GK;6'6;212lbs
20;189511;Sergio Busquets;29;Spain;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;€51.5M;€315K;Right;CDM;6'2;168lbs
21;179813;E. Cavani;31;Uruguay;Paris Saint-Germain;https://cdn.sofifa.org/teams/2/light/73.png;€60M;€200K;Right;LS;6'1;170lbs
22;167495;M. Neuer;32;Germany;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;€38M;€130K;Right;GK;6'4;203lbs
23;153079;S. Agüero;30;Argentina;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;€64.5M;€300K;Right;ST;5'8;154lbs
24;138956;G. Chiellini;33;Italy;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;€27M;€215K;Left;LCB;6'2;187lbs
25;231747;K. Mbappé;19;France;Paris Saint-Germain;https://cdn.sofifa.org/teams/2/light/73.png;€81M;€100K;Right;RM;5'10;161lbs
26;209331;M. Salah;26;Egypt;Liverpool;https://cdn.sofifa.org/teams/2/light/9.png;€69.5M;€255K;Left;RM;5'9;157lbs
27;200145;Casemiro;26;Brazil;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;€59.5M;€285K;Right;CDM;6'1;185lbs
28;198710;J. Rodríguez;26;Colombia;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;€69.5M;€315K;Left;LAM;5'11;172lbs
29;198219;L. Insigne;27;Italy;Napoli;https://cdn.sofifa.org/teams/2/light/48.png;€62M;€165K;Right;LW;5'4;130lbs
30;197781;Isco;26;Spain;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;€73.5M;€315K;Right;LW;5'9;174lbs
31;190460;C. Eriksen;26;Denmark;Tottenham Hotspur;https://cdn.sofifa.org/teams/2/light/18.png;€73.5M;€205K;Right;CAM;5'11;168lbs
32;189242;Coutinho;26;Brazil;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;€69.5M;€340K;Right;LW;5'8;150lbs
33;188567;P. Aubameyang;29;Gabon;Arsenal;https://cdn.sofifa.org/teams/2/light/1.png;€59M;€265K;Right;LM;6'2;176lbs
34;178603;M. Hummels;29;Germany;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;€46M;€160K;Right;LCB;6'3;203lbs
35;176676;Marcelo;30;Brazil;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;€43M;€285K;Left;LB;5'9;176lbs
36;173731;G. Bale;28;Wales;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;€60M;€355K;Left;ST;6'1;181lbs
37;167948;H. Lloris;31;France;Tottenham Hotspur;https://cdn.sofifa.org/teams/2/light/18.png;€36M;€150K;Left;GK;6'2;181lbs
38;167664;G. Higuaín;30;Argentina;Milan;https://cdn.sofifa.org/teams/2/light/47.png;€57M;€245K;Right;LS;6'1;196lbs
39;164240;Thiago Silva;33;Brazil;Paris Saint-Germain;https://cdn.sofifa.org/teams/2/light/73.png;€24M;€165K;Right;RCB;6'0;181lbs
40;162835;S. Handanovič;33;Slovenia;Inter;https://cdn.sofifa.org/teams/2/light/44.png;€30M;€110K;Right;GK;6'4;203lbs
41;1179;G. Buffon;40;Italy;Paris Saint-Germain;https://cdn.sofifa.org/teams/2/light/73.png;€4M;€77K;Right;GK;6'4;203lbs
42;205600;S. Umtiti;24;France;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;€57M;€205K;Left;CB;6'0;165lbs
43;201399;M. Icardi;25;Argentina;Inter;https://cdn.sofifa.org/teams/2/light/44.png;€64.5M;€130K;Right;ST;5'11;165lbs
44;201024;K. Koulibaly;27;Senegal;Napoli;https://cdn.sofifa.org/teams/2/light/48.png;€51M;€115K;Right;LCB;6'2;196lbs
45;195864;P. Pogba;25;France;Manchester United;https://cdn.sofifa.org/teams/2/light/11.png;€64M;€210K;Right;RDM;6'4;185lbs
46;193041;K. Navas;31;Costa Rica;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;€30.5M;€195K;Right;GK;6'1;176lbs
47;192505;R. Lukaku;25;Belgium;Manchester United;https://cdn.sofifa.org/teams/2/light/11.png;€62.5M;€230K;Left;ST;6'3;207lbs
48;192387;C. Immobile;28;Italy;Lazio;https://cdn.sofifa.org/teams/2/light/46.png;€52M;€115K;Right;ST;6'1;187lbs
49;189332;Jordi Alba;29;Spain;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;€38M;€250K;Left;LB;5'7;150lbs
50;175943;D. Mertens;31;Belgium;Napoli;https://cdn.sofifa.org/teams/2/light/48.png;€45M;€135K;Right;RF;5'7;134lbs
51;172871;J. Vertonghen;31;Belgium;Tottenham Hotspur;https://cdn.sofifa.org/teams/2/light/18.png;€34M;€155K;Left;LCB;6'2;190lbs
52;171877;M. Hamšík;30;Slovakia;Napoli;https://cdn.sofifa.org/teams/2/light/48.png;€46.5M;€125K;Right;LCM;6'0;174lbs
53;168651;I. Rakitić;30;Croatia;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;€46.5M;€260K;Right;RCM;6'0;172lbs
54;152729;Piqué;31;Spain;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;€34M;€240K;Right;RCB;6'4;187lbs
55;222492;L. Sané;22;Germany;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;€61M;€195K;Left;LW;6'0;165lbs
56;218667;Bernardo Silva;23;Portugal;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;€59.5M;€180K;Left;RW;5'8;141lbs
57;210257;Ederson;24;Brazil;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;€41.5M;€125K;Left;GK;6'2;190lbs
58;208722;S. Mané;26;Senegal;Liverpool;https://cdn.sofifa.org/teams/2/light/9.png;€52M;€195K;Right;LM;5'9;152lbs
59;203376;V. van Dijk;26;Netherlands;Liverpool;https://cdn.sofifa.org/teams/2/light/9.png;€44.5M;€165K;Right;LCB;6'4;203lbs
60;202652;R. Sterling;23;England;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;€56.5M;€195K;Right;RW;5'7;152lbs
61;201942;Roberto Firmino;26;Brazil;Liverpool;https://cdn.sofifa.org/teams/2/light/9.png;€53M;€195K;Right;CAM;5'11;168lbs
62;201535;R. Varane;25;France;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;€50M;€210K;Right;RCB;6'3;179lbs
63;199556;M. Verratti;25;Italy;Paris Saint-Germain;https://cdn.sofifa.org/teams/2/light/73.png;€55M;€135K;Right;LCM;5'5;132lbs
64;191043;Alex Sandro;27;Brazil;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;€36.5M;€160K;Left;LB;5'11;176lbs
65;190483;Douglas Costa;27;Brazil;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;€46.5M;€175K;Left;LM;5'8;154lbs
66;189596;T. Müller;28;Germany;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;€45M;€135K;Right;CAM;6'1;165lbs
67;189509;Thiago;27;Spain;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;€45.5M;€130K;Right;CM;5'9;154lbs
68;188350;M. Reus;29;Germany;Borussia Dortmund;https://cdn.sofifa.org/teams/2/light/22.png;€43.5M;€100K;Right;LM;5'11;157lbs
69;184432;Azpilicueta;28;Spain;Chelsea;https://cdn.sofifa.org/teams/2/light/5.png;€35M;€175K;Right;RB;5'10;168lbs
70;184344;L. Bonucci;31;Italy;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;€30M;€160K;Right;RCB;6'3;187lbs
71;184087;T. Alderweireld;29;Belgium;Tottenham Hotspur;https://cdn.sofifa.org/teams/2/light/18.png;€39M;€150K;Right;RCB;6'1;179lbs
72;180206;M. Pjanić;28;Bosnia Herzegovina;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;€44M;€180K;Right;CDM;5'10;159lbs
73;177509;M. Benatia;31;Morocco;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;€30M;€160K;Right;CB;6'2;207lbs
74;176635;M. Özil;29;Germany;Arsenal;https://cdn.sofifa.org/teams/2/light/1.png;€43.5M;€190K;Left;CAM;5'11;168lbs
75;135507;Fernandinho;33;Brazil;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;€18M;€185K;Right;CDM;5'10;148lbs
76;41;Iniesta;34;Spain;Vissel Kobe;https://cdn.sofifa.org/teams/2/light/101146.png;€21.5M;€21K;Right;LF;5'7;150lbs
77;232363;M. Škriniar;23;Slovakia;Inter;https://cdn.sofifa.org/teams/2/light/44.png;€46.5M;€82K;Right;LCB;6'2;176lbs
78;223848;S. Milinković-Savić;23;Serbia;Lazio;https://cdn.sofifa.org/teams/2/light/46.png;€50.5M;€73K;Right;CM;6'3;168lbs
79;220834;Marco Asensio;22;Spain;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;€54M;€215K;Left;RW;6'0;168lbs
80;216594;N. Fekir;24;France;Olympique Lyonnais;https://cdn.sofifa.org/teams/2/light/66.png;€50M;€92K;Left;CAM;5'8;165lbs
81;212831;Alisson;25;Brazil;Liverpool;https://cdn.sofifa.org/teams/2/light/9.png;€36.5M;€115K;Right;GK;6'3;201lbs
82;212622;J. Kimmich;23;Germany;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;€40.5M;€92K;Right;RCM;5'9;154lbs
83;208421;Saúl;23;Spain;Atlético Madrid;https://cdn.sofifa.org/teams/2/light/240.png;€50.5M;€77K;Left;RCM;6'0;170lbs
84;204485;R. Mahrez;27;Algeria;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;€40.5M;€205K;Left;RW;5'10;148lbs
85;197445;D. Alaba;26;Austria;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;€38M;€110K;Left;LB;5'11;168lbs
86;193747;Koke;26;Spain;Atlético Madrid;https://cdn.sofifa.org/teams/2/light/240.png;€45M;€88K;Right;LM;5'9;163lbs
87;193301;A. Lacazette;27;France;Arsenal;https://cdn.sofifa.org/teams/2/light/1.png;€45M;€180K;Right;ST;5'9;161lbs
88;192774;K. Manolas;27;Greece;Roma;https://cdn.sofifa.org/teams/2/light/52.png;€37.5M;€96K;Right;LCB;6'2;183lbs
89;192366;N. Otamendi;30;Argentina;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;€28.5M;€170K;Right;CB;6'0;179lbs
90;189513;Parejo;29;Spain;Valencia CF;https://cdn.sofifa.org/teams/2/light/461.png;€37M;€66K;Right;RCM;6'0;163lbs
91;187961;Paulinho;29;Brazil;Guangzhou Evergrande Taobao FC;https://cdn.sofifa.org/teams/2/light/111839.png;€37M;€235K;Right;LDM;6'0;157lbs
92;186153;W. Szczęsny;28;Poland;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;€32M;€125K;Right;GK;6'5;198lbs
93;184941;A. Sánchez;29;Chile;Manchester United;https://cdn.sofifa.org/teams/2/light/11.png;€37.5M;€215K;Right;RW;5'7;163lbs
94;184267;Y. Brahimi;28;Algeria;FC Porto;https://cdn.sofifa.org/teams/2/light/236.png;€39M;€28K;Right;LM;5'9;146lbs
95;183907;J. Boateng;29;Germany;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;€30M;€115K;Right;RCB;6'4;198lbs
96;181872;A. Vidal;31;Chile;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;€26M;€205K;Right;CAM;5'11;165lbs
97;181458;I. Perišić;29;Croatia;Inter;https://cdn.sofifa.org/teams/2/light/44.png;€37.5M;€110K;Right;LM;6'1;176lbs
98;180930;E. Džeko;32;Bosnia Herzegovina;Roma;https://cdn.sofifa.org/teams/2/light/52.png;€30.5M;€115K;Right;ST;6'4;185lbs
99;179846;S. Khedira;31;Germany;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;€33M;€160K;Right;RCM;6'2;198lbs
100;179844;Diego Costa;29;Spain;Atlético Madrid;https://cdn.sofifa.org/teams/2/light/240.png;€38.5M;€100K;Right;LS;6'2;190lbs
101;178518;R. Nainggolan;30;Belgium;Inter;https://cdn.sofifa.org/teams/2/light/44.png;€35.5M;€105K;Right;CAM;5'9;170lbs
102;171919;Naldo;35;Brazil;FC Schalke 04;https://cdn.sofifa.org/teams/2/light/34.png;€9M;€38K;Right;CB;6'6;201lbs
103;170890;B. Matuidi;31;France;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;€26M;€145K;Left;LM;5'11;165lbs
104;168609;Miranda;33;Brazil;Inter;https://cdn.sofifa.org/teams/2/light/44.png;€15.5M;€96K;Right;CB;6'1;172lbs
105;165153;K. Benzema;30;France;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;€37M;€240K;Right;ST;6'1;179lbs
106;164169;Filipe Luís;32;Brazil;Atlético Madrid;https://cdn.sofifa.org/teams/2/light/240.png;€21.5M;€81K;Left;LB;6'0;163lbs
107;139720;V. Kompany;32;Belgium;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;€22M;€170K;Right;CB;6'3;187lbs
108;120533;Pepe;35;Portugal;Beşiktaş JK;https://cdn.sofifa.org/teams/2/light/327.png;€9M;€57K;Right;RCB;6'2;179lbs
109;41236;Z. Ibrahimović;36;Sweden;LA Galaxy;https://cdn.sofifa.org/teams/2/light/697.png;€14M;€15K;Right;RS;6'5;209lbs
110;220793;D. Sánchez;22;Colombia;Tottenham Hotspur;https://cdn.sofifa.org/teams/2/light/18.png;€34M;€105K;Right;RCB;6'2;174lbs
111;216460;J. Giménez;23;Uruguay;Atlético Madrid;https://cdn.sofifa.org/teams/2/light/240.png;€34M;€63K;Right;RCB;6'1;176lbs
112;212462;Alex Telles;25;Brazil;FC Porto;https://cdn.sofifa.org/teams/2/light/236.png;€32M;€22K;Left;LB;5'11;157lbs
113;212218;A. Laporte;24;France;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;€34M;€135K;Left;LCB;6'2;187lbs
114;212198;Bruno Fernandes;23;Portugal;Sporting CP;https://cdn.sofifa.org/teams/2/light/237.png;€40.5M;€22K;Right;LCM;5'10;152lbs
115;212190;N. Süle;22;Germany;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;€36.5M;€84K;Right;CB;6'5;214lbs
116;211300;A. Martial;22;France;Manchester United;https://cdn.sofifa.org/teams/2/light/11.png;€42.5M;€165K;Right;LW;6'0;168lbs
117;211117;D. Alli;22;England;Tottenham Hotspur;https://cdn.sofifa.org/teams/2/light/18.png;€42.5M;€115K;Right;LCM;6'2;176lbs
118;209499;Fabinho;24;Brazil;Liverpool;https://cdn.sofifa.org/teams/2/light/9.png;€34M;€120K;Right;CDM;6'2;172lbs
119;207865;Marquinhos;24;Brazil;Paris Saint-Germain;https://cdn.sofifa.org/teams/2/light/73.png;€35.5M;€90K;Right;LDM;6'0;165lbs
120;207566;William Carvalho;26;Portugal;Real Betis;https://cdn.sofifa.org/teams/2/light/449.png;€31.5M;€38K;Right;CDM;6'2;183lbs
121;205498;Jorginho;26;Italy;Chelsea;https://cdn.sofifa.org/teams/2/light/5.png;€38M;€155K;Right;CM;5'11;148lbs
122;204970;F. Thauvin;25;France;Olympique de Marseille;https://cdn.sofifa.org/teams/2/light/219.png;€39M;€72K;Left;RM;5'10;154lbs
123;204963;Carvajal;26;Spain;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;€31.5M;€185K;Right;RB;5'8;161lbs
124;202556;M. Depay;24;Netherlands;Olympique Lyonnais;https://cdn.sofifa.org/teams/2/light/66.png;€42M;€93K;Right;ST;5'9;172lbs
125;200104;H. Son;25;Korea Republic;Tottenham Hotspur;https://cdn.sofifa.org/teams/2/light/18.png;€37M;€125K;Right;LM;6'0;143lbs
126;199482;A. Lopes;27;Portugal;Olympique Lyonnais;https://cdn.sofifa.org/teams/2/light/66.png;€25M;€72K;Left;GK;6'0;179lbs
127;198176;S. de Vrij;26;Netherlands;Inter;https://cdn.sofifa.org/teams/2/light/44.png;€31.5M;€88K;Right;CB;6'2;172lbs
128;198009;M. Perin;25;Italy;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;€29.5M;€105K;Right;GK;6'2;170lbs
129;193082;J. Cuadrado;30;Colombia;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;€29.5M;€150K;Right;RAM;5'10;159lbs
130;192629;Iago Aspas;30;Spain;RC Celta;https://cdn.sofifa.org/teams/2/light/450.png;€30M;€45K;Left;ST;5'9;148lbs
131;192563;B. Leno;26;Germany;Arsenal;https://cdn.sofifa.org/teams/2/light/1.png;€27M;€115K;Right;GK;6'3;183lbs
132;191202;N. Matić;29;Serbia;Manchester United;https://cdn.sofifa.org/teams/2/light/11.png;€24M;€165K;Left;CDM;6'4;187lbs
133;190941;L. Hrádecký;28;Finland;Bayer 04 Leverkusen;https://cdn.sofifa.org/teams/2/light/32.png;€22M;€74K;Right;GK;6'4;187lbs
134;190584;Illarramendi;28;Spain;Real Sociedad;https://cdn.sofifa.org/teams/2/light/457.png;€31M;€51K;Right;RDM;5'10;165lbs
135;188377;K. Walker;28;England;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;€24.5M;€165K;Right;RB;6'0;154lbs
136;186942;I. Gündoğan;27;Germany;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;€32M;€175K;Right;CM;5'11;176lbs
137;185020;José Callejón;31;Spain;Napoli;https://cdn.sofifa.org/teams/2/light/48.png;€27.5M;€105K;Right;RM;5'10;161lbs
138;183898;A. Di María;30;Argentina;Paris Saint-Germain;https://cdn.sofifa.org/teams/2/light/73.png;€29.5M;€125K;Left;RM;5'11;152lbs
139;181783;M. Mandžukić;32;Croatia;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;€25M;€160K;Right;ST;6'3;187lbs
140;180403;Willian;29;Brazil;Chelsea;https://cdn.sofifa.org/teams/2/light/5.png;€30.5M;€175K;Right;RW;5'9;172lbs
141;178750;Sergio Asenjo;29;Spain;Villarreal CF;https://cdn.sofifa.org/teams/2/light/483.png;€24M;€42K;Right;GK;6'2;192lbs
142;178562;E. Banega;30;Argentina;Sevilla FC;https://cdn.sofifa.org/teams/2/light/481.png;€29M;€31K;Right;CDM;5'9;157lbs
143;177413;A. Witsel;29;Belgium;Borussia Dortmund;https://cdn.sofifa.org/teams/2/light/22.png;€24M;€77K;Right;LCM;6'2;179lbs
144;177388;D. Payet;31;France;Olympique de Marseille;https://cdn.sofifa.org/teams/2/light/219.png;€27.5M;€75K;Right;CAM;5'9;170lbs
145;176769;Jonas;34;Brazil;SL Benfica;https://cdn.sofifa.org/teams/2/light/234.png;€16.5M;€25K;Right;ST;5'11;163lbs
146;172879;Sokratis;30;Greece;Arsenal;https://cdn.sofifa.org/teams/2/light/1.png;€23M;€140K;Right;RCB;6'1;187lbs
147;167628;S. Ruffier;31;France;AS Saint-Étienne;https://cdn.sofifa.org/teams/2/light/1819.png;€19M;€41K;Right;GK;6'2;205lbs
148;167397;Falcao;32;Colombia;AS Monaco;https://cdn.sofifa.org/teams/2/light/69.png;€25M;€115K;Right;RS;5'10;159lbs
149;163587;K. Schmeichel;31;Denmark;Leicester City;https://cdn.sofifa.org/teams/2/light/95.png;€19M;€78K;Right;GK;6'2;196lbs
150;157481;Raúl Albiol;32;Spain;Napoli;https://cdn.sofifa.org/teams/2/light/48.png;€18M;€88K;Right;RCB;6'3;181lbs
151;143076;A. Gómez;30;Argentina;Atalanta;https://cdn.sofifa.org/teams/2/light/39.png;€30M;€53K;Right;LS;5'5;150lbs
152;137186;A. Barzagli;37;Italy;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;€4.2M;€95K;Right;CB;6'2;192lbs
153;20775;Quaresma;34;Portugal;Beşiktaş JK;https://cdn.sofifa.org/teams/2/light/327.png;€15.5M;€80K;Right;RM;5'9;148lbs
154;9014;A. Robben;34;Netherlands;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;€15.5M;€110K;Left;RM;5'11;176lbs
155;231443;O. Dembélé;21;France;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;€40M;€155K;Left;RW;5'10;148lbs
156;230666;Gabriel Jesus;21;Brazil;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;€41M;€130K;Right;ST;5'9;161lbs
157;230481;Ronaldo Cabrais;26;Brazil;Grêmio;https://cdn.sofifa.org/teams/2/light/1629.png;€28M;€51K;Right;RW;5'10;165lbs
158;230375;Josué Chiamulera;26;Brazil;Grêmio;https://cdn.sofifa.org/teams/2/light/1629.png;€22.5M;€43K;Right;LCB;6'1;176lbs
159;230294;Louri Beretta;26;Brazil;Atlético Mineiro;https://cdn.sofifa.org/teams/2/light/1035.png;€28.5M;€60K;Right;ST;6'2;183lbs
160;225850;P. Kimpembe;22;France;Paris Saint-Germain;https://cdn.sofifa.org/teams/2/light/73.png;€30.5M;€82K;Left;LCB;6'2;176lbs
161;220971;N. Keïta;23;Guinea;Liverpool;https://cdn.sofifa.org/teams/2/light/9.png;€34M;€120K;Right;CM;5'8;141lbs
162;219683;C. Tolisso;23;France;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;€34M;€85K;Right;CM;5'11;179lbs
163;213565;T. Lemar;22;France;Atlético Madrid;https://cdn.sofifa.org/teams/2/light/240.png;€35.5M;€64K;Left;LM;5'7;137lbs
164;213345;K. Coman;22;France;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;€34M;€85K;Right;LM;5'10;157lbs
165;213331;J. Tah;22;Germany;Bayer 04 Leverkusen;https://cdn.sofifa.org/teams/2/light/32.png;€29.5M;€67K;Right;CB;6'5;214lbs
166;212523;Anderson Talisca;24;Brazil;Guangzhou Evergrande Taobao FC;https://cdn.sofifa.org/teams/2/light/111839.png;€36.5M;€18K;Left;CAM;6'3;176lbs
167;212188;T. Werner;22;Germany;RB Leipzig;https://cdn.sofifa.org/teams/2/light/112172.png;€34.5M;€70K;Right;RW;5'11;165lbs
168;210008;A. Rabiot;23;France;Paris Saint-Germain;https://cdn.sofifa.org/teams/2/light/73.png;€33M;€91K;Left;CM;6'4;176lbs
169;209658;L. Goretzka;23;Germany;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;€34M;€85K;Right;CM;6'2;174lbs
170;208808;Q. Promes;26;Netherlands;Sevilla FC;https://cdn.sofifa.org/teams/2/light/481.png;€30.5M;€28K;Right;RM;5'9;159lbs
171;208670;H. Ziyech;25;Morocco;Ajax;https://cdn.sofifa.org/teams/2/light/245.png;€32.5M;€28K;Left;RAM;5'11;143lbs
172;208618;Lucas Vázquez;27;Spain;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;€27M;€205K;Right;RW;5'8;154lbs
173;208418;Y. Carrasco;24;Belgium;Dalian YiFang FC;https://cdn.sofifa.org/teams/2/light/112378.png;€33M;€20K;Right;LM;5'11;161lbs
174;208093;Gerard Moreno;26;Spain;Villarreal CF;https://cdn.sofifa.org/teams/2/light/483.png;€32M;€53K;Left;LS;5'11;170lbs
175;207863;Felipe;29;Brazil;FC Porto;https://cdn.sofifa.org/teams/2/light/236.png;€20M;€22K;Right;RCB;6'3;190lbs
176;207410;M. Kovačić;24;Croatia;Chelsea;https://cdn.sofifa.org/teams/2/light/5.png;€35M;€165K;Right;LCM;5'9;172lbs
177;206585;Kepa;23;Spain;Chelsea;https://cdn.sofifa.org/teams/2/light/5.png;€28.5M;€84K;Right;GK;6'1;187lbs
178;206545;Manu Trigueros;26;Spain;Villarreal CF;https://cdn.sofifa.org/teams/2/light/483.png;€30M;€49K;Right;RCM;5'10;165lbs
179;206113;S. Gnabry;22;Germany;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;€34.5M;€85K;Right;ST;5'9;165lbs
180;204935;J. Pickford;24;England;Everton;https://cdn.sofifa.org/teams/2/light/7.png;€25M;€78K;Left;GK;6'1;170lbs
181;204639;S. Savić;27;Montenegro;Atlético Madrid;https://cdn.sofifa.org/teams/2/light/240.png;€26M;€67K;Right;CB;6'2;174lbs
182;203574;J. Stones;24;England;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;€28.5M;€125K;Right;RCB;6'2;154lbs
183;202651;Suso;24;Spain;Milan;https://cdn.sofifa.org/teams/2/light/47.png;€33M;€115K;Left;RW;5'9;154lbs
184;202166;J. Draxler;24;Germany;Paris Saint-Germain;https://cdn.sofifa.org/teams/2/light/73.png;€32.5M;€91K;Right;CM;6'2;170lbs
185;201995;Felipe Anderson;25;Brazil;West Ham United;https://cdn.sofifa.org/teams/2/light/19.png;€31.5M;€110K;Right;LM;5'9;154lbs
186;200949;Lucas Moura;25;Brazil;Tottenham Hotspur;https://cdn.sofifa.org/teams/2/light/18.png;€31M;€115K;Right;RM;5'9;154lbs
